ps,,/Raised_Cosine_Transmit_Filter_tb/Out1
d,elta,
550001000,1,-0.639404297
551000000,2,-0.51953125
552000000,2,-0.198730469
553000000,2,0.198486328
554000000,2,0.519287109
555000000,2,0.641845703
555001000,1,0.639160156
556000000,2,0.519287109
557000000,2,0.198486328
558000000,2,-0.198730469
559000000,2,-0.51953125
560000000,2,-0.642089844
560001000,1,-0.639404297
561000000,2,-0.51953125
562000000,2,-0.198730469
563000000,2,0.198486328
564000000,2,0.519287109
565000000,2,0.641845703
565001000,1,0.639160156
566000000,2,0.519287109
567000000,2,0.198486328
568000000,2,-0.198730469
569000000,2,-0.51953125
570000000,2,-0.642089844
570001000,1,-0.639404297
571000000,2,-0.51953125
572000000,2,-0.198730469
573000000,2,0.198486328
574000000,2,0.519287109
575000000,2,0.641845703
575001000,1,0.639160156
576000000,2,0.519287109
577000000,2,0.198486328
578000000,2,-0.198730469
579000000,2,-0.51953125
580000000,2,-0.642089844
580001000,1,-0.639404297
581000000,2,-0.51953125
582000000,2,-0.198730469
583000000,2,0.198486328
584000000,2,0.519287109
585000000,2,0.641845703
585001000,1,0.639160156
586000000,2,0.519287109
587000000,2,0.198486328
588000000,2,-0.198730469
589000000,2,-0.51953125
590000000,2,-0.642089844
590001000,1,-0.639404297
591000000,2,-0.51953125
592000000,2,-0.198730469
593000000,2,0.198486328
594000000,2,0.519287109
595000000,2,0.641845703
595001000,1,0.639160156
596000000,2,0.519287109
597000000,2,0.198486328
598000000,2,-0.198730469
599000000,2,-0.51953125
600000000,2,-0.642089844
600001000,1,-0.639404297
601000000,2,-0.51953125
602000000,2,-0.198730469
603000000,2,0.198486328
604000000,2,0.519287109
605000000,2,0.641845703
605001000,1,0.639160156
606000000,2,0.519287109
607000000,2,0.198486328
608000000,2,-0.198730469
609000000,2,-0.51953125
610000000,2,-0.642089844
610001000,1,-0.639404297
611000000,2,-0.51953125
612000000,2,-0.198730469
613000000,2,0.198486328
614000000,2,0.519287109
615000000,2,0.641845703
615001000,1,0.639160156
616000000,2,0.519287109
617000000,2,0.198486328
618000000,2,-0.198730469
619000000,2,-0.51953125
620000000,2,-0.642089844
620001000,1,-0.639404297
621000000,2,-0.51953125
622000000,2,-0.198730469
623000000,2,0.198486328
624000000,2,0.519287109
625000000,2,0.641845703
625001000,1,0.639160156
626000000,2,0.519287109
627000000,2,0.198486328
628000000,2,-0.198730469
629000000,2,-0.51953125
630000000,2,-0.642089844
630001000,1,-0.639404297
631000000,2,-0.51953125
632000000,2,-0.198730469
633000000,2,0.198486328
634000000,2,0.519287109
635000000,2,0.641845703
635001000,1,0.639160156
636000000,2,0.519287109
637000000,2,0.198486328
638000000,2,-0.198730469
639000000,2,-0.51953125
640000000,2,-0.642089844
640001000,1,-0.639404297
641000000,2,-0.51953125
642000000,2,-0.198730469
643000000,2,0.198486328
644000000,2,0.519287109
645000000,2,0.641845703
645001000,1,0.639160156
646000000,2,0.519287109
647000000,2,0.198486328
648000000,2,-0.198730469
649000000,2,-0.51953125
650000000,2,-0.642089844
650001000,1,-0.639404297
651000000,2,-0.51953125
652000000,2,-0.198730469
653000000,2,0.198486328
654000000,2,0.519287109
655000000,2,0.641845703
655001000,1,0.639160156
656000000,2,0.519287109
657000000,2,0.198486328
658000000,2,-0.198730469
659000000,2,-0.51953125
660000000,2,-0.642089844
660001000,1,-0.639404297
661000000,2,-0.51953125
